1,{'tyres': ['Metal', 'Roller', 'Cushion', 'Crimson Slim'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Waddle Wing', 'Super Glider', 'Flower Glider', 'Parafoil'], 'vehicles': ['Standard Bike', 'Mach 8', 'Gold Standard', 'Jet Bike'], 'players': ['Oliver', 'Computer', 'Computer', 'Computer'], 'characters': ['Baby Luigi', 'Luigi', 'Roy', 'Larry'], 'handicaps before this game': [0.0, 0.0, 0.0, 0.0], 'team selection': 'random'}
2,{'tyres': ['Azure Roller', 'Wooden', 'Cushion', 'Roller'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Plane Glider', 'Super Glider', 'Super Glider', 'Flower Glider'], 'vehicles': ['Circuit Special', 'Varmint', 'Steel Driver', 'Landship'], 'players': ['Uma', 'Andy', 'Victor', 'Rob'], 'characters': ['Daisy', 'Rosalina', 'Baby Daisy', 'Pink Gold Peach'], 'handicaps before this game': [0.0, 0.0, 0.0, 0.0], 'team selection': 'random'}
3,{'tyres': ['Gold Tires', 'Slim', 'Slick', 'Cushion'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Wario Wing', 'Parafoil', 'Cloud Glider', 'MKTV Parafoil'], 'vehicles': ['Sports Coupe', 'Landship', 'Comet', 'Comet'], 'players': ['Arvinda', 'Ian', 'Oliver', 'Johan'], 'characters': ['Mario', 'Wendy', 'Peach', 'Daisy'], 'handicaps before this game': [0.0, 0.0, 0.0, 0.0], 'team selection': 'random'}
4,{'tyres': ['Cyber Slick', 'Offroad', 'Slim', 'Crimson Slim'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['Super Glider', 'Parachute', 'Parafoil', 'Flower Glider'], 'vehicles': ['Jet Bike', 'Mr. Scooty', 'Circuit Special', 'Bounder'], 'players': ['Computer', 'Computer', 'Computer', 'Computer'], 'characters': ['Toadette', 'Koopa Troopa', 'Luigi', 'Donkey Kong'], 'handicaps before this game': [0.0, 0.0, 0.0, 0.0], 'team selection': 'random'}
5,{'tyres': ['Crimson Slim', 'Metal', 'Offroad', 'Funky Monster'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Super Glider', 'MKTV Parafoil', 'Parafoil', 'MKTV Parafoil'], 'vehicles': ['Varmint', 'Steel Driver', 'Tri-Speeder', 'Sport Bike'], 'players': ['Thomas', 'Andy', 'Rob', 'Uma'], 'characters': ['Wario', 'Ludwig', 'Mario', 'Mario'], 'handicaps before this game': [0.0, 0.0, 0.0, 0.0], 'team selection': 'random'}
6,{'tyres': ['Normal Blue', 'Crimson Slim', 'Normal Blue', 'Azure Roller'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Parachute', 'Super Glider', 'Super Glider', 'Gold Glider'], 'vehicles': ['Bounder', 'Teddy Buggy', 'Standard Bike', 'Flame Rider'], 'players': ['Uma', 'Andy', 'Thomas', 'Rob'], 'characters': ['Yoshi', 'Ludwig', 'Toadette', 'Ludwig'], 'handicaps before this game': [0.25, 0.25, -0.25, -0.25], 'team selection': 'random'}
7,{'tyres': ['Cushion', 'Retro Off-road', 'Roller', 'Button'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Cloud Glider', 'Parachute', 'Waddle Wing', 'Parafoil'], 'vehicles': ['Cat Cruiser', 'Wild Wiggler', 'Buggybud', 'Jet Bike'], 'players': ['Rob', 'Andy', 'Ian', 'Uma'], 'characters': ['Baby Daisy', 'Yoshi', 'Bowser', 'Roy'], 'handicaps before this game': [0.0, 0.0, 0.0, 0.5], 'team selection': 'random'}
8,{'tyres': ['Sponge', 'Offroad', 'Slim', 'Funky Monster'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Super Glider', 'Wario Wing', 'Parafoil', 'Peach Parasol'], 'vehicles': ['Comet', 'Teddy Buggy', 'Mach 8', 'Mach 8'], 'players': ['Andy', 'Ian', 'Lisa', 'Computer'], 'characters': ['Waluigi', 'Waluigi', 'Wario', 'Baby Mario'], 'handicaps before this game': [-0.25, -0.25, 0.0, 0.0], 'team selection': 'random'}
9,{'tyres': ['Retro Off-road', 'Sponge', 'Normal Blue', 'Normal Tyres'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Flower Glider', 'Waddle Wing', 'Plane Glider', 'Cloud Glider'], 'vehicles': ['Sport Bike', 'Cat Cruiser', 'Yoshi Bike', 'Comet'], 'players': ['Thomas', 'Uma', 'Andy', 'Rob'], 'characters': ['Waluigi', 'Donkey Kong', 'Baby Peach', 'Yoshi'], 'handicaps before this game': [-0.75, 0.5, -0.75, 0.0], 'team selection': 'random'}
10,{'tyres': ['Normal Blue', 'Roller', 'Cushion', 'Funky Monster'], 'team colours': ['blue', 'blue', 'red', 'red'], 'gliders': ['Parachute', 'Waddle Wing', 'Parachute', 'Waddle Wing'], 'vehicles': ['Standard Bike', 'Standard Kart', 'Flame Rider', 'Mach 8'], 'players': ['Computer', 'Computer', 'Computer', 'Computer'], 'characters': ['Wendy', 'Morton', 'Baby Mario', 'Shy Guy'], 'handicaps before this game': [0.0, 0.0, 0.0, 0.0], 'team selection': 'random'}
11,{'tyres': ['Sponge', 'Azure Roller', 'Wooden', 'Metal'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['Cloud Glider', 'Parafoil', 'Parafoil', 'Peach Parasol'], 'vehicles': ['Buggybud', 'Jet Bike', 'Steel Driver', 'Yoshi Bike'], 'players': ['Thomas', 'Ian', 'Victor', 'Rob'], 'characters': ['Mario', 'Morton', 'Lemmy', 'Lemmy'], 'handicaps before this game': [-0.5, -0.25, -0.25, -0.25], 'team selection': 'random'}
12,{'tyres': ['Wooden', 'Slick', 'Funky Monster', 'Roller'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Peach Parasol', 'Waddle Wing', 'Parafoil', 'Plane Glider'], 'vehicles': ['The Duke', 'Prancer', 'The Duke', 'Sport Bike'], 'players': ['Oliver', 'Ian', 'Johan', 'Joe'], 'characters': ['Donkey Kong', 'Bowser', 'Bowser', 'Baby Peach'], 'handicaps before this game': [-0.25, -0.5, -0.25, -0.25], 'team selection': 'random'}
